City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Sovetskiy,RU,2022-11-08 17:40:04,61.3614,63.5842,26.19,98,94,4.65
263,Nikolskoye,RU,2022-11-08 17:40:05,59.7035,30.7861,48.09,90,100,9.89
264,Hamilton,US,2022-11-08 17:37:01,39.1834,-84.5333,60.6,44,0,11.5
265,Ust-Omchug,RU,2022-11-08 17:40:05,61.15,149.6333,-7.28,99,100,2.66
266,Senanga,ZM,2022-11-08 17:40:05,-16.1167,23.2667,72.48,72,92,4.21
267,Valparaiso,CL,2022-11-08 17:40:06,-33.0393,-71.6273,64.99,94,100,11.5
268,Te Anau,NZ,2022-11-08 17:40:06,-45.4167,167.7167,48.22,94,65,2.64
269,Nyaunglebin,MM,2022-11-08 17:40:06,17.95,96.7333,70.3,84,84,2.57
270,Jefferson City,US,2022-11-08 17:39:47,38.5767,-92.1735,63.7,38,0,5.99
271,Ylojarvi,FI,2022-11-08 17:40:07,61.5563,23.5961,35.94,100,100,3.44
272,Itaituba,BR,2022-11-08 17:40:07,-4.2761,-55.9836,84.36,74,75,4.61
273,Pine Bluff,US,2022-11-08 17:39:21,34.2284,-92.0032,69.73,68,40,4.61
274,Wladyslawowo,PL,2022-11-08 17:40:08,54.7909,18.4009,52.93,81,100,13.76
275,Turayf,SA,2022-11-08 17:40:08,31.6725,38.6637,62.85,67,40,6.91
276,Sohag,EG,2022-11-08 17:40:08,26.557,31.6948,73.69,44,74,6.22
277,Nicosia,CY,2022-11-08 17:41:09,35.1667,33.3667,61.32,77,20,3.44
278,Cibitoke,BI,2022-11-08 17:41:09,-2.8833,29.25,64.94,88,99,3.69
279,Epe,NG,2022-11-08 17:41:09,6.5841,3.9834,81.14,81,97,7.9
280,Tromso,NO,2022-11-08 17:41:10,69.6496,18.957,32.02,100,75,3.44
281,Bud,US,2022-11-08 17:41:10,39.447,-86.1758,59.76,48,86,12.73
282,Mushie,CD,2022-11-08 17:41:10,-3.0167,16.9,73.81,92,96,1.9
283,Half Moon Bay,US,2022-11-08 17:41:11,37.4636,-122.4286,51.58,95,100,11.5
284,Dong Hoi,VN,2022-11-08 17:41:11,17.4833,106.6,72.88,89,95,7.58
285,Mamallapuram,IN,2022-11-08 17:41:11,12.6264,80.1722,78.85,81,94,11.48
286,Kaeo,NZ,2022-11-08 17:41:12,-35.1,173.7833,61.32,95,57,5.97
287,Burns Lake,CA,2022-11-08 17:41:12,54.2331,-125.7533,-9.98,56,6,0.47
288,Abu Samrah,SY,2022-11-08 17:41:12,35.3029,37.1841,62.89,58,63,3.58
289,Ribeira Grande,PT,2022-11-08 17:40:36,38.5167,-28.7,68.4,73,40,16.11
290,Luderitz,NA,2022-11-08 17:41:13,-26.6481,15.1594,61.9,79,46,13.2
291,Yulara,AU,2022-11-08 17:41:13,-25.2406,130.9889,71.64,56,51,7.43
292,Hohhot,CN,2022-11-08 17:41:13,40.8106,111.6522,34.09,64,0,6.71
293,Kloulklubed,PW,2022-11-08 17:41:13,7.0419,134.2556,77.5,73,96,5.99
